file,scheme,model_type,variable,AIC,delta,best
../outputs/GAM_outputs/function_out/G4/gam_null2.rds,G4,gam,null2,45892.66010841636,0,TRUE
../outputs/GAM_outputs/function_out/G4/modG.rds,G4,modG,NA,45621.409497867324,0,TRUE
../outputs/GAM_outputs/function_out/G4/modGS_tmax.rds,G4,modGS,tmax,44956.41542388717,0,TRUE
../outputs/GAM_outputs/function_out/G4/modGS_tmin.rds,G4,modGS,tmin,45418.65936724035,462.2439433531763,FALSE
../outputs/GAM_outputs/function_out/G4/modGS_ws.rds,G4,modGS,ws,45480.24602539921,523.8306015120397,FALSE
../outputs/GAM_outputs/function_out/G4/modGS_ppt.rds,G4,modGS,ppt,45551.05036689001,594.6349430028422,FALSE
../outputs/GAM_outputs/function_out/G4/modGS_soil.rds,G4,modGS,soil,45580.15839610474,623.742972217573,FALSE
../outputs/GAM_outputs/function_out/G4/modS_tmax.rds,G4,modS,tmax,45330.247782993465,0,TRUE
../outputs/GAM_outputs/function_out/G4/modS_ws.rds,G4,modS,ws,45557.03340543987,226.7856224464049,FALSE
../outputs/GAM_outputs/function_out/G4/modS_tmin.rds,G4,modS,tmin,45596.37406770987,266.12628471640346,FALSE
../outputs/GAM_outputs/function_out/G4/modS_ppt.rds,G4,modS,ppt,45744.04360969231,413.7958266988426,FALSE
../outputs/GAM_outputs/function_out/G4/modS_soil.rds,G4,modS,soil,45990.521790223145,660.2740072296801,FALSE
../outputs/GAM_outputs/function_out/G5/gam_null2.rds,G5,gam,null2,45029.74754628314,0,TRUE
../outputs/GAM_outputs/function_out/G5/modG.rds,G5,modG,NA,44151.686275799984,0,TRUE
../outputs/GAM_outputs/function_out/G5/modGS_tmax.rds,G5,modGS,tmax,43851.18318801411,0,TRUE
../outputs/GAM_outputs/function_out/G5/modGS_soil.rds,G5,modGS,soil,44086.68621481887,235.5030268047558,FALSE
../outputs/GAM_outputs/function_out/G5/modGS_tmin.rds,G5,modGS,tmin,44110.17211498044,258.98892696633266,FALSE
../outputs/GAM_outputs/function_out/G5/modGS_ppt.rds,G5,modGS,ppt,44132.46733599621,281.28414798209997,FALSE
../outputs/GAM_outputs/function_out/G5/modGS_ws.rds,G5,modGS,ws,44133.686245354496,282.50305734038557,FALSE
../outputs/GAM_outputs/function_out/G5/modS_ws.rds,G5,modS,ws,44216.13434572978,0,TRUE
../outputs/GAM_outputs/function_out/G5/modS_tmin.rds,G5,modS,tmin,44307.61113645033,91.47679072055325,FALSE
../outputs/GAM_outputs/function_out/G5/modS_ppt.rds,G5,modS,ppt,44367.037898305345,150.90355257556803,FALSE
../outputs/GAM_outputs/function_out/G5/modS_tmax.rds,G5,modS,tmax,44383.204465484545,167.0701197547678,FALSE
../outputs/GAM_outputs/function_out/G5/modS_soil.rds,G5,modS,soil,44491.94462218391,275.8102764541327,FALSE
../outputs/GAM_outputs/function_out/GM5/gam_null2.rds,GM5,gam,null2,46718.03743356624,0,TRUE
../outputs/GAM_outputs/function_out/GM5/modG.rds,GM5,modG,NA,44670.14574287148,0,TRUE
../outputs/GAM_outputs/function_out/GM5/modGS_tmin.rds,GM5,modGS,tmin,44043.76895867808,0,TRUE
../outputs/GAM_outputs/function_out/GM5/modGS_tmax.rds,GM5,modGS,tmax,44347.8344403843,304.0654817062168,FALSE
../outputs/GAM_outputs/function_out/GM5/modGS_soil.rds,GM5,modGS,soil,44499.88221717232,456.11325849423883,FALSE
../outputs/GAM_outputs/function_out/GM5/modGS_ppt.rds,GM5,modGS,ppt,44580.81683090099,537.0478722229091,FALSE
../outputs/GAM_outputs/function_out/GM5/modGS_ws.rds,GM5,modGS,ws,44612.506512684224,568.7375540061403,FALSE
../outputs/GAM_outputs/function_out/GM5/modS_tmin.rds,GM5,modS,tmin,44286.90738319866,0,TRUE
../outputs/GAM_outputs/function_out/GM5/modS_tmax.rds,GM5,modS,tmax,44526.67531546108,239.76793226241716,FALSE
../outputs/GAM_outputs/function_out/GM5/modS_ppt.rds,GM5,modS,ppt,44626.10646639511,339.1990831964504,FALSE
../outputs/GAM_outputs/function_out/GM5/modS_ws.rds,GM5,modS,ws,44672.9583523833,386.05096918463823,FALSE
../outputs/GAM_outputs/function_out/GM5/modS_soil.rds,GM5,modS,soil,44707.472306944495,420.5649237458347,FALSE
../outputs/GAM_outputs/function_out/GM6/gam_null2.rds,GM6,gam,null2,46505.98152594463,0,TRUE
../outputs/GAM_outputs/function_out/GM6/modG.rds,GM6,modG,NA,44116.60180924337,0,TRUE
../outputs/GAM_outputs/function_out/GM6/modGS_tmin.rds,GM6,modGS,tmin,43735.04991637214,0,TRUE
../outputs/GAM_outputs/function_out/GM6/modGS_soil.rds,GM6,modGS,soil,43881.25398487547,146.20406850332802,FALSE
../outputs/GAM_outputs/function_out/GM6/modGS_tmax.rds,GM6,modGS,tmax,43896.981871202835,161.93195483069576,FALSE
../outputs/GAM_outputs/function_out/GM6/modGS_ppt.rds,GM6,modGS,ppt,44048.51295527583,313.4630389036902,FALSE
../outputs/GAM_outputs/function_out/GM6/modGS_ws.rds,GM6,modGS,ws,44089.062347858846,354.0124314867062,FALSE
../outputs/GAM_outputs/function_out/GM6/modS_tmin.rds,GM6,modS,tmin,43990.92003800041,0,TRUE
../outputs/GAM_outputs/function_out/GM6/modS_ppt.rds,GM6,modS,ppt,44114.85518054612,123.93514254570619,FALSE
../outputs/GAM_outputs/function_out/GM6/modS_soil.rds,GM6,modS,soil,44141.44180247321,150.52176447279635,FALSE
../outputs/GAM_outputs/function_out/GM6/modS_tmax.rds,GM6,modS,tmax,44165.32944043531,174.40940243489604,FALSE
../outputs/GAM_outputs/function_out/GM6/modS_ws.rds,GM6,modS,ws,44189.76363404668,198.8435960462666,FALSE
